config,model,num_narrative_agents,aggregation,validation,avg_api_calls,avg_cost_usd,avg_latency_sec,f1_samples
agora_majority_mistral_pt_t00,mistral-large-latest,3,majority,False,5.0,0.035,13.3678,0.2579
agora_mistral_bg_t00,mistral-large-latest,3,intersection,False,5.0,0.035,5.2846,0.2571
agora_deepseek_pt_t00,deepseek-chat,3,intersection,False,5.0,0.0021,14.4691,0.2566
agora_majority_mistral_bg_t00,mistral-large-latest,3,majority,False,5.0,0.035,22.2477,0.2541
agora_majority_gpt5nano_hi_t00,gpt-5-nano,3,majority,False,5.0,0.002,68.617,0.2524
actor_critic_gpt5nano_en_t07,gpt-5-nano,1,union,True,5.0,0.002,145.603,0.2415
baseline_mistral_bg_t00,mistral-large-latest,1,union,False,3.0,0.021,18.5999,0.2413
agora_majority_gpt5nano_en_t00,gpt-5-nano,3,majority,False,5.0,0.002,0.0492,0.2372
agora_majority_mistral_ru_t00,mistral-large-latest,3,majority,False,5.0,0.035,18.2595,0.234
agora_gemini_en_t00,gemini-2.5-flash,3,intersection,False,5.0,0.0015,11.2207,0.2336
agora_gemini_en_t07,gemini-2.5-flash,3,intersection,False,5.0,0.0015,1.9185,0.2329
actor_critic_gemini_en_t00,gemini-2.5-flash,1,union,True,5.0,0.0015,9.6817,0.2329
baseline_gpt5nano_en_t00,gpt-5-nano,1,union,False,3.0,0.0012,51.0812,0.2324
actor_critic_mistral_bg_t00,mistral-large-latest,1,union,True,5.0,0.035,71.2592,0.2323
agora_union_gpt5nano_en_t07,gpt-5-nano,3,union,False,5.0,0.002,109.0984,0.23
agora_majority_gpt5nano_en_t07,gpt-5-nano,3,majority,False,5.0,0.002,105.9296,0.2271
actor_critic_deepseek_hi_t00,deepseek-chat,1,union,True,5.0,0.0021,13.1522,0.2251
actor_critic_deepseek_pt_t00,deepseek-chat,1,union,True,5.0,0.0021,6.3039,0.2158
baseline_gemini_en_t00,gemini-2.5-flash,1,union,False,3.0,0.0009,1.6022,0.2157
actor_critic_mistral_ru_t00,mistral-large-latest,1,union,True,5.0,0.035,63.0941,0.213
agora_majority_together_llama33_70b_ru_t00,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,5.0,0.002,6.3382,0.2126
actor_critic_deepseek_en_t00_evidence,deepseek-chat,1,union,True,5.0,0.0021,39.4541,0.2119
agora_union_gpt5nano_en_t00,gpt-5-nano,3,union,False,5.0,0.002,188.1476,0.2086
baseline_mistral_ru_t00,mistral-large-latest,1,union,False,3.0,0.021,14.7289,0.2081
actor_critic_gemini_en_t07,gemini-2.5-flash,1,union,True,5.0,0.0015,10.8603,0.2059
actor_critic_deepseek_en_t00,deepseek-chat,1,union,True,5.0,0.0021,0.1331,0.204
baseline_gpt5nano_en_t07,gpt-5-nano,1,union,False,3.0,0.0012,52.3165,0.203
baseline_mistral_pt_t00,mistral-large-latest,1,union,False,3.0,0.021,9.6379,0.1927
actor_critic_mistral_pt_t00,mistral-large-latest,1,union,True,5.0,0.035,36.83,0.1923
baseline_deepseek_en_t00_evidence,deepseek-chat,1,union,False,3.0,0.0013,11.6157,0.1916
agora_mistral_ru_t00,mistral-large-latest,3,intersection,False,5.0,0.035,3.9372,0.1878
agora_mistral_hi_t00,mistral-large-latest,3,intersection,False,5.0,0.035,4.766,0.1853
baseline_deepseek_en_t00,deepseek-chat,1,union,False,3.0,0.0013,0.1378,0.1853
agora_deepseek_en_t07,deepseek-chat,3,intersection,False,5.0,0.0021,1.4741,0.1836
agora_majority_together_llama33_70b_bg_t00,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,5.0,0.002,8.5951,0.1828
actor_critic_deepseek_en_t07,deepseek-chat,1,union,True,5.0,0.0021,7.244,0.1803
agora_majority_mistral_hi_t00,mistral-large-latest,3,majority,False,5.0,0.035,43.9773,0.1779
agora_deepseek_en_t00,deepseek-chat,3,intersection,False,5.0,0.0021,1.4909,0.176
actor_critic_together_llama33_70b_en_t00,meta-llama/Llama-3.3-70B-Instruct-Turbo,1,union,True,5.0,0.002,27.28,0.1729
actor_critic_together_llama33_70b_en_t07,meta-llama/Llama-3.3-70B-Instruct-Turbo,1,union,True,5.0,0.002,24.5253,0.1719
baseline_mistral_hi_t00,mistral-large-latest,1,union,False,3.0,0.021,20.1309,0.1679
agora_mistral_en_t00,mistral-large-latest,3,intersection,False,5.0,0.035,2.8794,0.1651
baseline_deepseek_en_t07,deepseek-chat,1,union,False,3.0,0.0013,1.9461,0.1646
agora_together_llama33_70b_en_t07,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,intersection,False,5.0,0.002,7.2691,0.1627
agora_mistral_en_t07,mistral-large-latest,3,intersection,False,5.0,0.035,3.2945,0.1614
agora_mistral_en_t00_evidence,mistral-large-latest,3,intersection,False,5.0,0.035,20.6139,0.1613
baseline_mistral_en_t07,mistral-large-latest,1,union,False,3.0,0.021,2.9761,0.1563
actor_critic_mistral_hi_t00,mistral-large-latest,1,union,True,5.0,0.035,82.3212,0.1558
agora_majority_together_llama33_70b_en_t00,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,5.0,0.002,3.1386,0.1549
agora_majority_mistral_en_t00_evidence,mistral-large-latest,3,majority,False,5.0,0.035,20.8595,0.1507
actor_critic_mistral_en_t00_evidence,mistral-large-latest,1,union,True,5.0,0.035,65.7854,0.1496
agora_majority_mistral_en_t00,mistral-large-latest,3,majority,False,5.0,0.035,3.1681,0.1484
agora_together_llama33_70b_en_t00,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,intersection,False,5.0,0.002,5.9012,0.1476
baseline_mistral_en_t00,mistral-large-latest,1,union,False,3.0,0.021,3.0446,0.1476
baseline_mistral_en_t00_evidence,mistral-large-latest,1,union,False,3.0,0.021,16.895,0.1475
actor_critic_mistral_en_t00,mistral-large-latest,1,union,True,5.0,0.035,11.5193,0.1461
actor_critic_mistral_en_t07,mistral-large-latest,1,union,True,5.0,0.035,12.271,0.1454
agora_union_mistral_en_t00,mistral-large-latest,3,union,False,5.0,0.035,3.5236,0.1428
agora_union_mistral_en_t07,mistral-large-latest,3,union,False,5.0,0.035,21.0601,0.142
baseline_together_llama33_70b_en_t07,meta-llama/Llama-3.3-70B-Instruct-Turbo,1,union,False,3.0,0.0012,5.9969,0.1408
baseline_together_llama33_70b_en_t00,meta-llama/Llama-3.3-70B-Instruct-Turbo,1,union,False,3.0,0.0012,5.8266,0.1391
agora_union_together_llama33_70b_en_t07,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,union,False,5.0,0.002,10.1072,0.1385
agora_majority_together_llama33_70b_en_t07,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,5.0,0.002,7.6099,0.1379
agora_majority_mistral_en_t07,mistral-large-latest,3,majority,False,5.0,0.035,3.2469,0.1374
agora_union_together_llama33_70b_en_t00,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,union,False,5.0,0.002,5.1897,0.1369
agora_majority_together_llama33_70b_hi_t00,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,5.0,0.002,5.7818,0.1216
agora_majority_together_llama33_70b_pt_t00,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,5.0,0.002,3.9744,0.1115
actor_critic_gpt5nano_en_t00,gpt-5-nano,1,union,True,5.0,0.002,256.1743,0.1047
baseline_gemini_en_t07,gemini-2.5-flash,1,union,False,3.0,0.0009,107.8552,0.0644
run_1_config,deepseek-chat,1,union,True,1.0,0.0021,34.8502,
run_2_config,deepseek-chat,1,union,True,1.0,0.0021,28.6784,
run_3_config,deepseek-chat,1,union,True,1.0,0.0021,28.6808,
run_4_config,deepseek-chat,1,union,True,1.0,0.0021,25.6255,
run_5_config,deepseek-chat,1,union,True,1.0,0.0021,30.4247,
run_1_config,deepseek-chat,1,union,True,1.0,0.0021,6.4382,
run_2_config,deepseek-chat,1,union,True,1.0,0.0021,7.4559,
run_3_config,deepseek-chat,1,union,True,1.0,0.0021,6.2942,
run_4_config,deepseek-chat,1,union,True,1.0,0.0021,8.219,
run_5_config,deepseek-chat,1,union,True,1.0,0.0021,6.8376,
run_1_config,deepseek-chat,1,union,True,1.0,0.0021,6.4919,
run_2_config,deepseek-chat,1,union,True,1.0,0.0021,6.1031,
run_3_config,deepseek-chat,1,union,True,1.0,0.0021,7.1586,
run_4_config,deepseek-chat,1,union,True,1.0,0.0021,6.2094,
run_5_config,deepseek-chat,1,union,True,1.0,0.0021,7.2625,
run_1_config,deepseek-chat,1,union,True,1.0,0.0021,39.1764,
run_1_config,deepseek-chat,1,union,True,1.0,0.0021,7.1001,
run_2_config,deepseek-chat,1,union,True,1.0,0.0021,6.8498,
run_3_config,deepseek-chat,1,union,True,1.0,0.0021,6.5991,
run_4_config,deepseek-chat,1,union,True,1.0,0.0021,6.4992,
run_5_config,deepseek-chat,1,union,True,1.0,0.0021,6.7695,
run_1_config,deepseek-chat,1,union,True,1.0,0.0021,12.9733,
run_2_config,deepseek-chat,1,union,True,1.0,0.0021,13.8744,
run_3_config,deepseek-chat,1,union,True,1.0,0.0021,14.9781,
run_4_config,deepseek-chat,1,union,True,1.0,0.0021,16.5523,
run_5_config,deepseek-chat,1,union,True,1.0,0.0021,14.5782,
run_1_config,deepseek-chat,1,union,True,1.0,0.0021,6.1234,
run_2_config,deepseek-chat,1,union,True,1.0,0.0021,5.0479,
run_3_config,deepseek-chat,1,union,True,1.0,0.0021,5.0781,
run_4_config,deepseek-chat,1,union,True,1.0,0.0021,5.8268,
run_5_config,deepseek-chat,1,union,True,1.0,0.0021,6.4084,
run_1_config,deepseek-chat,1,union,True,1.0,0.0021,8.118,
run_2_config,deepseek-chat,1,union,True,1.0,0.0021,9.1453,
run_3_config,deepseek-chat,1,union,True,1.0,0.0021,8.5198,
run_4_config,deepseek-chat,1,union,True,1.0,0.0021,8.0996,
run_5_config,deepseek-chat,1,union,True,1.0,0.0021,10.1294,
run_1_config,deepseek-chat,1,union,True,1.0,0.0021,8.4926,
run_2_config,deepseek-chat,1,union,True,1.0,0.0021,7.4867,
run_3_config,deepseek-chat,1,union,True,1.0,0.0021,7.6845,
run_4_config,deepseek-chat,1,union,True,1.0,0.0021,9.0808,
run_5_config,deepseek-chat,1,union,True,1.0,0.0021,8.0696,
run_1_config,gemini-2.5-flash,1,union,True,1.0,0.0015,9.6662,
run_2_config,gemini-2.5-flash,1,union,True,1.0,0.0015,12.3213,
run_3_config,gemini-2.5-flash,1,union,True,1.0,0.0015,9.4821,
run_4_config,gemini-2.5-flash,1,union,True,1.0,0.0015,9.162,
run_5_config,gemini-2.5-flash,1,union,True,1.0,0.0015,10.2775,
run_1_config,gemini-2.5-flash,1,union,True,1.0,0.0015,23.368,
run_2_config,gemini-2.5-flash,1,union,True,1.0,0.0015,20.3689,
run_3_config,gemini-2.5-flash,1,union,True,1.0,0.0015,20.6942,
run_4_config,gemini-2.5-flash,1,union,True,1.0,0.0015,19.1086,
run_5_config,gemini-2.5-flash,1,union,True,1.0,0.0015,16.9197,
run_1_config,gemini-2.5-flash,1,union,True,1.0,0.0015,10.3126,
run_2_config,gemini-2.5-flash,1,union,True,1.0,0.0015,13.2037,
run_3_config,gemini-2.5-flash,1,union,True,1.0,0.0015,27.4478,
run_4_config,gemini-2.5-flash,1,union,True,1.0,0.0015,25.7222,
run_5_config,gemini-2.5-flash,1,union,True,1.0,0.0015,4.5727,
run_1_config,gemini-2.5-flash,1,union,True,1.0,0.0015,32.3058,
run_2_config,gemini-2.5-flash,1,union,True,1.0,0.0015,23.9283,
run_3_config,gemini-2.5-flash,1,union,True,1.0,0.0015,24.9947,
run_4_config,gemini-2.5-flash,1,union,True,1.0,0.0015,21.8447,
run_5_config,gemini-2.5-flash,1,union,True,1.0,0.0015,31.2698,
run_1_config,gpt-5-nano,1,union,True,1.0,0.002,156.1622,
run_2_config,gpt-5-nano,1,union,True,1.0,0.002,191.2691,
run_3_config,gpt-5-nano,1,union,True,1.0,0.002,162.8788,
run_4_config,gpt-5-nano,1,union,True,1.0,0.002,195.6376,
run_5_config,gpt-5-nano,1,union,True,1.0,0.002,147.5692,
run_1_config,gpt-5-nano,1,union,True,1.0,0.002,145.5547,
run_2_config,gpt-5-nano,1,union,True,1.0,0.002,180.816,
run_3_config,gpt-5-nano,1,union,True,1.0,0.002,159.8126,
run_4_config,gpt-5-nano,1,union,True,1.0,0.002,176.756,
run_5_config,gpt-5-nano,1,union,True,1.0,0.002,173.7244,
run_1_config,mistral-large-latest,1,union,True,1.0,0.035,71.2463,
run_2_config,mistral-large-latest,1,union,True,1.0,0.035,67.1086,
run_3_config,mistral-large-latest,1,union,True,1.0,0.035,70.2462,
run_4_config,mistral-large-latest,1,union,True,1.0,0.035,70.9403,
run_5_config,mistral-large-latest,1,union,True,1.0,0.035,75.2145,
run_1_config,mistral-large-latest,1,union,True,1.0,0.035,11.2278,
run_2_config,mistral-large-latest,1,union,True,1.0,0.035,11.2841,
run_3_config,mistral-large-latest,1,union,True,1.0,0.035,11.5701,
run_4_config,mistral-large-latest,1,union,True,1.0,0.035,11.3745,
run_5_config,mistral-large-latest,1,union,True,1.0,0.035,11.5233,
actor_critic_mistral_en_t00,mistral-large-latest,1,union,True,1.0,0.035,63.6623,
run_1_config,mistral-large-latest,1,union,True,1.0,0.035,64.1682,
run_1_config,mistral-large-latest,1,union,True,1.0,0.035,12.2601,
run_2_config,mistral-large-latest,1,union,True,1.0,0.035,11.526,
run_3_config,mistral-large-latest,1,union,True,1.0,0.035,11.2604,
run_4_config,mistral-large-latest,1,union,True,1.0,0.035,11.7938,
run_5_config,mistral-large-latest,1,union,True,1.0,0.035,12.0271,
run_1_config,mistral-large-latest,1,union,True,1.0,0.035,82.3087,
run_2_config,mistral-large-latest,1,union,True,1.0,0.035,84.034,
run_3_config,mistral-large-latest,1,union,True,1.0,0.035,82.6649,
run_4_config,mistral-large-latest,1,union,True,1.0,0.035,84.6621,
run_5_config,mistral-large-latest,1,union,True,1.0,0.035,83.3596,
run_1_config,mistral-large-latest,1,union,True,1.0,0.035,36.8054,
run_2_config,mistral-large-latest,1,union,True,1.0,0.035,38.6314,
run_3_config,mistral-large-latest,1,union,True,1.0,0.035,62.4611,
run_4_config,mistral-large-latest,1,union,True,1.0,0.035,39.9221,
run_5_config,mistral-large-latest,1,union,True,1.0,0.035,40.7307,
run_1_config,mistral-large-latest,1,union,True,1.0,0.035,63.0676,
run_2_config,mistral-large-latest,1,union,True,1.0,0.035,63.398,
run_3_config,mistral-large-latest,1,union,True,1.0,0.035,64.8383,
run_4_config,mistral-large-latest,1,union,True,1.0,0.035,69.1861,
run_5_config,mistral-large-latest,1,union,True,1.0,0.035,70.1007,
run_1_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,1,union,True,1.0,0.0,27.0314,
run_2_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,1,union,True,1.0,0.0,28.2658,
run_3_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,1,union,True,1.0,0.0,18.5464,
run_4_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,1,union,True,1.0,0.0,20.3461,
run_5_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,1,union,True,1.0,0.0,28.227,
run_1_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,1,union,True,1.0,0.0,24.2827,
run_2_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,1,union,True,1.0,0.0,17.4012,
run_3_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,1,union,True,1.0,0.0,25.2432,
run_4_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,1,union,True,1.0,0.0,15.8463,
run_5_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,1,union,True,1.0,0.0,28.3321,
run_1_config,deepseek-chat,3,intersection,False,1.0,0.0021,1.4616,
run_2_config,deepseek-chat,3,intersection,False,1.0,0.0021,1.4006,
run_3_config,deepseek-chat,3,intersection,False,1.0,0.0021,1.4144,
run_4_config,deepseek-chat,3,intersection,False,1.0,0.0021,1.5455,
run_5_config,deepseek-chat,3,intersection,False,1.0,0.0021,1.3948,
run_1_config,deepseek-chat,3,intersection,False,1.0,0.0021,1.4371,
run_2_config,deepseek-chat,3,intersection,False,1.0,0.0021,1.5279,
run_3_config,deepseek-chat,3,intersection,False,1.0,0.0021,1.5209,
run_4_config,deepseek-chat,3,intersection,False,1.0,0.0021,1.4539,
run_5_config,deepseek-chat,3,intersection,False,1.0,0.0021,1.5229,
run_1_config,deepseek-chat,3,intersection,False,1.0,0.0021,1.2825,
run_2_config,deepseek-chat,3,intersection,False,1.0,0.0021,1.3551,
run_3_config,deepseek-chat,3,intersection,False,1.0,0.0021,1.2741,
run_4_config,deepseek-chat,3,intersection,False,1.0,0.0021,1.3326,
run_5_config,deepseek-chat,3,intersection,False,1.0,0.0021,1.4891,
run_1_config,deepseek-chat,3,intersection,False,1.0,0.0021,1.333,
run_2_config,deepseek-chat,3,intersection,False,1.0,0.0021,1.5805,
run_3_config,deepseek-chat,3,intersection,False,1.0,0.0021,1.3739,
run_4_config,deepseek-chat,3,intersection,False,1.0,0.0021,1.3826,
run_5_config,deepseek-chat,3,intersection,False,1.0,0.0021,1.5676,
run_1_config,deepseek-chat,3,intersection,False,1.0,0.0021,1.6642,
run_2_config,deepseek-chat,3,intersection,False,1.0,0.0021,1.481,
run_3_config,deepseek-chat,3,intersection,False,1.0,0.0021,1.6828,
run_4_config,deepseek-chat,3,intersection,False,1.0,0.0021,1.5814,
run_5_config,deepseek-chat,3,intersection,False,1.0,0.0021,1.4727,
run_1_config,deepseek-chat,3,intersection,False,1.0,0.0021,14.3026,
run_2_config,deepseek-chat,3,intersection,False,1.0,0.0021,15.6933,
run_3_config,deepseek-chat,3,intersection,False,1.0,0.0021,14.0286,
run_4_config,deepseek-chat,3,intersection,False,1.0,0.0021,15.9807,
run_5_config,deepseek-chat,3,intersection,False,1.0,0.0021,13.4579,
run_1_config,deepseek-chat,3,intersection,False,1.0,0.0021,1.9228,
run_2_config,deepseek-chat,3,intersection,False,1.0,0.0021,1.8825,
run_3_config,deepseek-chat,3,intersection,False,1.0,0.0021,1.8311,
run_4_config,deepseek-chat,3,intersection,False,1.0,0.0021,1.7607,
run_5_config,deepseek-chat,3,intersection,False,1.0,0.0021,1.8032,
run_1_config,deepseek-chat,3,intersection,False,1.0,0.0021,1.8713,
run_2_config,deepseek-chat,3,intersection,False,1.0,0.0021,1.8207,
run_3_config,deepseek-chat,3,intersection,False,1.0,0.0021,1.9077,
run_4_config,deepseek-chat,3,intersection,False,1.0,0.0021,1.871,
run_5_config,deepseek-chat,3,intersection,False,1.0,0.0021,1.8975,
run_1_config,gemini-2.5-flash,3,intersection,False,1.0,0.0015,11.0857,
run_2_config,gemini-2.5-flash,3,intersection,False,1.0,0.0015,8.8839,
run_3_config,gemini-2.5-flash,3,intersection,False,1.0,0.0015,9.1978,
run_1_config,gemini-2.5-flash,3,intersection,False,1.0,0.0015,1.9055,
run_2_config,gemini-2.5-flash,3,intersection,False,1.0,0.0015,1.4605,
run_3_config,gemini-2.5-flash,3,intersection,False,1.0,0.0015,1.3991,
run_4_config,gemini-2.5-flash,3,intersection,False,1.0,0.0015,1.5176,
run_5_config,gemini-2.5-flash,3,intersection,False,1.0,0.0015,1.5017,
run_1_config,deepseek-chat,3,majority,False,1.0,0.0021,17.1513,
run_2_config,deepseek-chat,3,majority,False,1.0,0.0021,15.831,
run_3_config,deepseek-chat,3,majority,False,1.0,0.0021,14.8817,
run_4_config,deepseek-chat,3,majority,False,1.0,0.0021,15.2943,
run_5_config,deepseek-chat,3,majority,False,1.0,0.0021,14.4508,
run_1_config,gpt-5-nano,3,majority,False,1.0,0.002,97.0542,
run_2_config,gpt-5-nano,3,majority,False,1.0,0.002,89.8613,
run_3_config,gpt-5-nano,3,majority,False,1.0,0.002,80.9706,
run_4_config,gpt-5-nano,3,majority,False,1.0,0.002,87.6849,
run_5_config,gpt-5-nano,3,majority,False,1.0,0.002,82.902,
run_1_config,gpt-5-nano,3,majority,False,1.0,0.002,14.0139,
run_2_config,gpt-5-nano,3,majority,False,1.0,0.002,14.3527,
run_3_config,gpt-5-nano,3,majority,False,1.0,0.002,14.5115,
run_4_config,gpt-5-nano,3,majority,False,1.0,0.002,16.6552,
run_5_config,gpt-5-nano,3,majority,False,1.0,0.002,15.1401,
run_1_config,gpt-5-nano,3,majority,False,1.0,0.002,105.7227,
run_2_config,gpt-5-nano,3,majority,False,1.0,0.002,89.563,
run_3_config,gpt-5-nano,3,majority,False,1.0,0.002,113.3907,
run_4_config,gpt-5-nano,3,majority,False,1.0,0.002,103.0841,
run_5_config,gpt-5-nano,3,majority,False,1.0,0.002,95.4214,
run_1_config,gpt-5-nano,3,majority,False,1.0,0.002,68.4076,
run_2_config,gpt-5-nano,3,majority,False,1.0,0.002,62.489,
run_3_config,gpt-5-nano,3,majority,False,1.0,0.002,64.5047,
run_4_config,gpt-5-nano,3,majority,False,1.0,0.002,69.135,
run_5_config,gpt-5-nano,3,majority,False,1.0,0.002,55.3024,
run_1_config,gpt-5-nano,3,majority,False,1.0,0.002,50.2174,
run_2_config,gpt-5-nano,3,majority,False,1.0,0.002,49.2028,
run_3_config,gpt-5-nano,3,majority,False,1.0,0.002,45.5564,
run_4_config,gpt-5-nano,3,majority,False,1.0,0.002,49.0961,
run_5_config,gpt-5-nano,3,majority,False,1.0,0.002,47.7496,
run_1_config,gpt-5-nano,3,majority,False,1.0,0.002,71.0458,
run_2_config,gpt-5-nano,3,majority,False,1.0,0.002,88.6757,
run_3_config,gpt-5-nano,3,majority,False,1.0,0.002,73.0938,
run_4_config,gpt-5-nano,3,majority,False,1.0,0.002,69.9273,
run_5_config,gpt-5-nano,3,majority,False,1.0,0.002,63.6225,
run_1_config,mistral-large-latest,3,majority,False,1.0,0.035,22.2229,
run_2_config,mistral-large-latest,3,majority,False,1.0,0.035,22.7777,
run_3_config,mistral-large-latest,3,majority,False,1.0,0.035,22.2394,
run_4_config,mistral-large-latest,3,majority,False,1.0,0.035,22.0846,
run_5_config,mistral-large-latest,3,majority,False,1.0,0.035,22.4,
run_1_config,mistral-large-latest,3,majority,False,1.0,0.035,3.1576,
run_2_config,mistral-large-latest,3,majority,False,1.0,0.035,3.3397,
run_3_config,mistral-large-latest,3,majority,False,1.0,0.035,2.9963,
run_4_config,mistral-large-latest,3,majority,False,1.0,0.035,3.1198,
run_5_config,mistral-large-latest,3,majority,False,1.0,0.035,3.1398,
run_1_config,mistral-large-latest,3,majority,False,1.0,0.035,20.8479,
run_1_config,mistral-large-latest,3,majority,False,1.0,0.035,3.1565,
run_2_config,mistral-large-latest,3,majority,False,1.0,0.035,3.1213,
run_3_config,mistral-large-latest,3,majority,False,1.0,0.035,2.9762,
run_4_config,mistral-large-latest,3,majority,False,1.0,0.035,3.0361,
run_5_config,mistral-large-latest,3,majority,False,1.0,0.035,3.1532,
run_1_config,mistral-large-latest,3,majority,False,1.0,0.035,43.9569,
run_2_config,mistral-large-latest,3,majority,False,1.0,0.035,26.0672,
run_3_config,mistral-large-latest,3,majority,False,1.0,0.035,26.0065,
run_4_config,mistral-large-latest,3,majority,False,1.0,0.035,26.7378,
run_5_config,mistral-large-latest,3,majority,False,1.0,0.035,26.2975,
run_1_config,mistral-large-latest,3,majority,False,1.0,0.035,13.3467,
run_2_config,mistral-large-latest,3,majority,False,1.0,0.035,13.299,
run_3_config,mistral-large-latest,3,majority,False,1.0,0.035,12.845,
run_4_config,mistral-large-latest,3,majority,False,1.0,0.035,13.0912,
run_5_config,mistral-large-latest,3,majority,False,1.0,0.035,12.9213,
run_1_config,mistral-large-latest,3,majority,False,1.0,0.035,18.2333,
run_2_config,mistral-large-latest,3,majority,False,1.0,0.035,18.7725,
run_3_config,mistral-large-latest,3,majority,False,1.0,0.035,19.1894,
run_4_config,mistral-large-latest,3,majority,False,1.0,0.035,17.5097,
run_5_config,mistral-large-latest,3,majority,False,1.0,0.035,19.325,
run_1_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,8.2958,
run_2_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,8.402,
run_3_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,8.4705,
run_4_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,5.6185,
run_5_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,6.1942,
run_1_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,2.8976,
run_2_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,2.7693,
run_3_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,3.0767,
run_4_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,3.6626,
run_5_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,3.364,
run_1_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,7.3723,
run_2_config,meta-llama/Llama-3.3-70B-Instruct-Turbo,3,majority,False,1.0,0.0,10.0906,
